"","De.Stress","Sleep","Focus"
"Have.some.coffee",0.0282405035660957,0.224881303094205,-0.0828943864470509
"Eat.a.healthy.breakfast",-0.0827043318721375,0.0841019507506784,-0.137332490979443
"Do.a.strength.workout",0.0053593307857034,0.0455392293063755,0.0501286864531176
"Take.a.shower",0.296875,0.148700751031731,0.210837872253051
"Change.out.of.your.PJs",0.138002767731863,0.125688272885596,0.0230098888637261
"Meditate",0.209375,-0.101966229278901,0.218983880953737
"Stretch",0.0998071552569711,-0.2278054144642,0.413769061913927
"Get.Outside",-0.0623235290595461,0.189725858294568,-0.281292916832006
"Tidy.up.your.space",-0.138002767731863,0.0145725533780401,-0.117925680426596
"Avoid.alcohol",-0.203125,-0.00849718577324175,-0.128898608263797
"Drink.some.water",-0.183563273179622,-0.104213286799754,-0.0668104010170261
"Read.a.book",-0.17734375,0.0382373359795879,-0.128898608263797
